item,regular_price,silver_price,gold_price,iridium_price,profession,category,sub_category,growth_time,general_store,jojamart,oasis_price,season,seed_price,crops_per_harvest,can_regrow,regular_gold_per_day,silver_gold_per_day,gold_gold_per_day,iridium_gold_per_day
Cactus_Fruit,75,93,112,150,none,crop,Special Crop,12,0,0,150,Special,150,1,FALSE,-6.25,-4.75,-3.167,0
Cactus_Fruit,82,102,123,165,none,crop,Special Crop,12,0,0,150,Special,150,1,FALSE,-5.667,-4,-2.25,1.25
Carrot,35,43,52,70,none,crop,Spring Crop,3,0,0,0,Spring,0,1,FALSE,11.667,14.333,17.333,23.333
Carrot,38,47,57,77,tiller,crop,Spring Crop,3,0,0,0,Spring,0,1,FALSE,12.667,15.667,19,25.667
Cauliflower,175,218,262,350,none,crop,Spring Crop,12,80,100,0,Spring,80,1,FALSE,7.917,11.5,15.167,22.5
Cauliflower,192,239,288,385,tiller,crop,Spring Crop,12,80,100,0,Spring,80,1,FALSE,9.333,13.25,17.333,25.417
Cherry,80,100,120,160,none,crop,Special Crop,28,3400,0,0,Special,3400,1,FALSE,-118.571,-117.857,-117.143,-115.714
Cherry,88,110,132,176,tiller,crop,Special Crop,28,3400,0,0,Special,3400,1,FALSE,-118.286,-117.5,-116.714,-115.143
Corn,50,62,75,100,none,crop,Summer Crop,14,150,187,0,Summer,150,1,TRUE,-7.143,-6.286,-5.357,-3.571
Corn,50,62,75,100,none,crop,Fall Crop,14,150,187,0,Fall,150,1,TRUE,-7.143,-6.286,-5.357,-3.571
Corn,55,68,82,110,tiller,crop,Summer Crop,14,150,187,0,Summer,150,1,TRUE,-6.786,-5.857,-4.857,-2.857
Corn,55,68,82,110,tiller,crop,Fall Crop,14,150,187,0,Fall,150,1,TRUE,-6.786,-5.857,-4.857,-2.857
Cranberries,75,93,112,150,none,crop,Fall Crop,0,0,0,0,Fall,0,2,TRUE,Inf,Inf,Inf,Inf
Cranberries,82,102,123,165,tiller,crop,Fall Crop,0,0,0,0,Fall,0,2,TRUE,Inf,Inf,Inf,Inf
Crystal_Fruit,150,187,225,300,none,crop,Special Crop,0,0,0,0,Special,0,1,FALSE,Inf,Inf,Inf,Inf
Eggplant,60,75,90,120,none,crop,Fall Crop,5,20,25,0,Fall,20,1,TRUE,8,11,14,20
Eggplant,66,82,99,132,tiller,crop,Fall Crop,5,20,25,0,Fall,20,1,TRUE,9.2,12.4,15.8,22.4
Fairy_Rose,290,362,435,580,none,crop,Fall Crop,12,200,250,0,Fall,200,1,FALSE,7.5,13.5,19.583,31.667
Fairy_Rose,319,398,478,638,tiller,crop,Fall Crop,12,200,250,0,Fall,200,1,FALSE,9.917,16.5,23.167,36.5
Fiddlehead_Fern,90,112,135,180,none,crop,Special Crop,0,0,0,0,Special,0,1,FALSE,Inf,Inf,Inf,Inf
Fiddlehead_Fern,99,123,148,198,tiller,crop,Special Crop,0,0,0,0,Special,0,1,FALSE,Inf,Inf,Inf,Inf
Garlic,60,75,90,120,none,crop,Spring Crop,4,40,0,0,Spring,40,1,FALSE,5,8.75,12.5,20
Garlic,66,82,99,132,tiller,crop,Spring Crop,4,40,0,0,Spring,40,1,FALSE,6.5,10.5,14.75,23
Grape,80,100,120,160,none,crop,Fall Crop,10,60,75,0,Fall,60,1,TRUE,2,4,6,10
Grape,88,110,132,176,none,crop,Fall Crop,10,60,75,0,Fall,60,1,TRUE,2.8,5,7.2,11.6
Green_Bean,40,50,60,80,none,crop,Spring Crop,10,60,75,0,Spring,60,1,FALSE,-2,-1,0,2
Green_Bean,44,55,66,88,tiller,crop,Spring Crop,10,60,75,0,Spring,60,1,FALSE,-1.6,-0.5,0.6,2.8
Hops,25,31,37,50,none,crop,Summer Crop,11,60,75,0,Summer,60,1,TRUE,-3.182,-2.636,-2.091,-0.909
Hops,27,34,40,55,tiller,crop,Summer Crop,11,60,75,0,Summer,60,1,TRUE,-3,-2.364,-1.818,-0.455
Hot_Pepper,40,50,60,80,none,crop,Summer Crop,5,40,50,0,Summer,40,1,FALSE,0,2,4,8
Hot_Pepper,44,55,66,88,tiller,crop,Summer Crop,5,40,50,0,Summer,40,1,FALSE,0.8,3,5.2,9.6
Kale,110,137,165,220,none,crop,Spring Crop,6,70,87,0,Spring,70,1,FALSE,6.667,11.167,15.833,25
Kale,121,150,181,242,tiller,crop,Spring Crop,6,70,87,0,Spring,70,1,FALSE,8.5,13.333,18.5,28.667
Mango,130,162,195,260,none,crop,Special Crop,28,0,0,0,Special,0,1,FALSE,4.643,5.786,6.964,9.286
Mango,143,178,214,286,tiller,crop,Special Crop,28,0,0,0,Special,0,1,FALSE,5.107,6.357,7.643,10.214
Melon,250,312,375,500,none,crop,Summer Crop,12,80,100,0,Summer,80,1,FALSE,14.167,19.333,24.583,35
Melon,275,343,412,550,tiller,crop,Summer Crop,12,80,100,0,Summer,80,1,FALSE,16.25,21.917,27.667,39.167
Orange,100,125,150,200,none,crop,Special Crop,28,4000,0,0,Special,4000,1,FALSE,-139.286,-138.393,-137.5,-135.714
Orange,110,137,165,220,tiller,crop,Special Crop,28,4000,0,0,Special,4000,1,FALSE,-138.929,-137.964,-136.964,-135
Parsnip,35,43,52,70,none,crop,Spring Crop,4,20,25,0,Spring,20,1,FALSE,3.75,5.75,8,12.5
Parsnip,38,47,57,77,tiller,crop,Spring Crop,4,20,25,0,Spring,20,1,FALSE,4.5,6.75,9.25,14.25
Peach,140,175,210,280,none,crop,Special Crop,28,6000,0,0,Special,6000,1,FALSE,-209.286,-208.036,-206.786,-204.286
Peach,154,192,231,308,tiller,crop,Special Crop,28,6000,0,0,Special,6000,1,FALSE,-208.786,-207.429,-206.036,-203.286
Pineapple,300,375,450,600,none,crop,Special Crop,14,0,0,0,Special,0,1,TRUE,21.429,26.786,32.143,42.857
Pineapple,330,412,495,660,tiller,crop,Special Crop,14,0,0,0,Special,0,1,TRUE,23.571,29.429,35.357,47.143
Pomegranate,140,175,210,280,none,crop,Special Crop,28,6000,0,0,Special,6000,1,FALSE,-209.286,-208.036,-206.786,-204.286
Pomegranate,154,192,231,308,tiller,crop,Special Crop,28,6000,0,0,Special,6000,1,FALSE,-208.786,-207.429,-206.036,-203.286
Poppy,140,175,210,280,none,crop,Summer Crop,7,100,125,0,Summer,100,1,FALSE,5.714,10.714,15.714,25.714
Poppy,154,192,231,308,tiller,crop,Summer Crop,7,100,125,0,Summer,100,1,FALSE,7.714,13.143,18.714,29.714
Potato,80,100,120,160,none,crop,Spring Crop,6,50,62,0,Spring,50,1,FALSE,5,8.333,11.667,18.333
Potato,88,110,132,176,tiller,crop,Spring Crop,6,50,62,0,Spring,50,1,FALSE,6.333,10,13.667,21
Powdermelon,60,75,90,120,none,crop,Winter Crop,7,0,0,0,Winter,0,1,FALSE,8.571,10.714,12.857,17.143
Powdermelon,66,82,99,132,tiller,crop,Winter Crop,7,0,0,0,Winter,0,1,FALSE,9.429,11.714,14.143,18.857
Pumpkin,320,400,480,640,none,crop,Fall Crop,13,100,125,0,Fall,100,1,FALSE,16.923,23.077,29.231,41.538
Pumpkin,352,440,528,704,tiller,crop,Fall Crop,13,100,125,0,Fall,100,1,FALSE,19.385,26.154,32.923,46.462
Radish,90,112,135,180,none,crop,Summer Crop,6,40,50,0,Summer,40,1,FALSE,8.333,12,15.833,23.333
Radish,99,123,148,198,tiller,crop,Summer Crop,6,40,50,0,Summer,40,1,FALSE,9.833,13.833,18,26.333
Red_Cabbage,260,325,390,520,none,crop,Summer Crop,9,100,0,0,Summer,100,1,FALSE,17.778,25,32.222,46.667
Red_Cabbage,286,357,429,572,tiller,crop,Summer Crop,9,100,0,0,Summer,100,1,FALSE,20.667,28.556,36.556,52.444
Rhubarb,220,275,330,440,none,crop,Spring Crop,13,0,0,100,Spring,100,1,FALSE,9.231,13.462,17.692,26.154
Rhubarb,242,302,363,484,tiller,crop,Spring Crop,13,0,0,100,Spring,100,1,FALSE,10.923,15.538,20.231,29.538
Spice_Berry,80,100,120,160,none,crop,Special Crop,0,0,0,0,Special,0,1,FALSE,Inf,Inf,Inf,Inf
Starfruit,750,937,1125,1500,none,crop,Summer Crop,13,0,0,400,Summer,400,1,FALSE,26.923,41.308,55.769,84.615
Starfruit,825,1030,1237,1650,tiller,crop,Summer Crop,13,0,0,400,Summer,400,1,FALSE,32.692,48.462,64.385,96.154
Strawberry,120,150,180,240,none,crop,Spring Crop,8,0,0,0,Spring,100,1,TRUE,2.5,6.25,10,17.5
Strawberry,132,165,198,264,tiller,crop,Spring Crop,8,0,0,0,Spring,100,1,TRUE,4,8.125,12.25,20.5
Summer_Spangle,90,112,135,180,none,crop,Summer Crop,8,50,62,0,Summer,50,1,FALSE,5,7.75,10.625,16.25
Summer_Spangle,99,123,148,198,tiller,crop,Summer Crop,8,50,62,0,Summer,50,1,FALSE,6.125,9.125,12.25,18.5
Summer_Squash,45,56,67,90,none,crop,Summer Crop,6,0,0,0,Summer,0,1,FALSE,7.5,9.333,11.167,15
Summer_Squash,49,61,73,99,tiller,crop,Summer Crop,6,0,0,0,Summer,0,1,FALSE,8.167,10.167,12.167,16.5
Sunflower,80,100,120,160,none,crop,Summer Crop,8,200,125,0,Summer,200,1,FALSE,-15,-12.5,-10,-5
Sunflower,80,100,120,160,none,crop,Fall Crop,8,200,125,0,Fall,200,1,FALSE,-15,-12.5,-10,-5
Sunflower,88,110,132,176,tiller,crop,Summer Crop,8,200,125,0,Summer,200,1,FALSE,-14,-11.25,-8.5,-3
Sunflower,88,110,132,176,tiller,crop,Fall Crop,8,200,125,0,Fall,200,1,FALSE,-14,-11.25,-8.5,-3
Taro_Root,100,125,150,200,none,crop,Special Crop,10,0,0,0,Special,0,1,FALSE,10,12.5,15,20
Taro_Root,110,137,165,220,tiller,crop,Special Crop,10,0,0,0,Special,0,1,FALSE,11,13.7,16.5,22
Tomato,60,75,90,120,none,crop,Summer Crop,11,50,62,0,Summer,50,1,TRUE,0.909,2.273,3.636,6.364
Tomato,66,82,99,132,tiller,crop,Summer Crop,11,50,62,0,Summer,50,1,TRUE,1.455,2.909,4.455,7.455
Tulip,30,37,45,60,none,crop,Spring Crop,6,20,25,0,Spring,20,1,FALSE,1.667,2.833,4.167,6.667
Tulip,33,40,49,66,tiller,crop,Spring Crop,6,20,25,0,Spring,20,1,FALSE,2.167,3.333,4.833,7.667
Unmilled_Rice,30,37,45,60,none,crop,Spring Crop,8,40,0,0,Spring,40,1,FALSE,-1.25,-0.375,0.625,2.5
Unmilled_Rice,33,40,49,66,tiller,crop,Spring Crop,8,40,0,0,Spring,40,1,FALSE,-0.875,0,1.125,3.25
Wheat,25,31,37,50,none,crop,Summer Crop,4,10,12,0,Summer,10,1,FALSE,3.75,5.25,6.75,10
Wheat,25,31,37,50,none,crop,Fall Crop,4,10,12,0,Fall,10,1,FALSE,3.75,5.25,6.75,10
Wheat,27,34,40,55,tiller,crop,Summer Crop,4,10,12,0,Summer,10,1,FALSE,4.25,6,7.5,11.25
Wheat,27,34,40,55,tiller,crop,Fall Crop,4,10,12,0,Fall,10,1,FALSE,4.25,6,7.5,11.25
Wild_Plum,80,100,120,160,none,crop,Special Crop,0,0,0,0,Special,0,1,FALSE,Inf,Inf,Inf,Inf
Yam,160,200,240,320,none,crop,Fall Crop,10,60,75,0,Fall,60,1,FALSE,10,14,18,26
Yam,176,220,264,352,tiller,crop,Fall Crop,10,60,75,0,Fall,60,1,FALSE,11.6,16,20.4,29.2
