title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Indiana Jones and the Kingdom of the Crystal Skull",movie,"Action, Adventure",2008,tt0367882,6.2,497367,JP
Volver,movie,"Comedy, Drama",2006,tt0441909,7.6,108826,JP
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2067715,JP
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1396513,JP
"Natural Born Killers",movie,"Action, Crime, Romance",1994,tt0110632,7.2,256435,JP
"High Fidelity",movie,"Comedy, Drama, Music",2000,tt0146882,7.4,192607,US
Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,242041,JP
"Willy Wonka & the Chocolate Factory",movie,"Adventure, Comedy, Family",1971,tt0067992,7.8,232601,JP
Batman,movie,"Action, Adventure",1989,tt0096895,7.5,413360,JP
"Batman Begins",movie,"Action, Crime, Drama",2005,tt0372784,8.2,1613469,JP
"The Shawshank Redemption",movie,Drama,1994,tt0111161,9.3,2965080,JP
"Ocean's Thirteen",movie,"Crime, Thriller",2007,tt0496806,6.9,372936,JP
"Once Upon a Time in America",movie,"Crime, Drama",1984,tt0087843,8.3,386077,JP
"Mystic River",movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,495173,JP
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1093254,JP
"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,346744,JP
"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,386661,JP
Alien,movie,"Horror, Sci-Fi",1979,tt0078748,8.5,990878,US
"The Devil Wears Prada",movie,"Comedy, Drama",2006,tt0458352,6.9,485500,JP
"Batman Returns",movie,"Action, Crime, Fantasy",1992,tt0103776,7.1,334653,JP
"Alien vs. Predator",movie,"Action, Adventure, Horror",2004,tt0370263,5.7,219722,US
"La Strada",movie,Drama,1954,tt0047528,8,67477,JP
"Batman Forever",movie,"Action, Adventure",1995,tt0112462,5.4,270823,JP
"Batman & Robin",movie,"Action, Sci-Fi",1997,tt0118688,3.8,272344,JP
8½,movie,Drama,1963,tt0056801,8,127268,JP
"The Day After Tomorrow",movie,"Action, Adventure, Sci-Fi",2004,tt0319262,6.5,488408,US
"Aliens vs. Predator: Requiem",movie,"Action, Horror, Sci-Fi",2007,tt0758730,4.6,138231,US
"A Beautiful Mind",movie,"Biography, Drama, Mystery",2001,tt0268978,8.2,1004931,JP
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1102941,JP
"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,203105,JP
"Reservoir Dogs",movie,"Crime, Thriller",1992,tt0105236,8.3,1111695,JP
Poseidon,movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,111849,JP
Monster,movie,"Biography, Crime, Drama",2003,tt0340855,7.3,165230,JP
"Fight Club",movie,Drama,1999,tt0137523,8.8,2396518,"JP, US"
Constantine,movie,"Action, Fantasy, Horror",2005,tt0360486,7,383803,JP
"Die Hard",movie,"Action, Thriller",1988,tt0095016,8.2,963814,US
"The Ring",movie,"Horror, Mystery",2002,tt0298130,7.1,383838,JP
"2 Fast 2 Furious",movie,"Action, Crime, Thriller",2003,tt0322259,5.9,303910,JP
"The Terminal",movie,"Comedy, Drama, Romance",2004,tt0362227,7.4,505693,JP
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1312956,JP
"E.T. the Extra-Terrestrial",movie,"Adventure, Family, Sci-Fi",1982,tt0083866,7.9,446241,JP
"Independence Day",movie,"Action, Adventure, Sci-Fi",1996,tt0116629,7,618289,"JP, US"
"The Matrix",movie,"Action, Sci-Fi",1999,tt0133093,8.7,2104977,JP
"The Matrix Reloaded",movie,"Action, Sci-Fi",2003,tt0234215,7.2,642279,JP
"The Matrix Revolutions",movie,"Action, Sci-Fi",2003,tt0242653,6.7,552807,JP
"Wild Strawberries",movie,"Drama, Romance",1957,tt0050986,8.1,117460,JP
"The Last Samurai",movie,"Action, Drama",2003,tt0325710,7.8,480419,JP
"The Bodyguard",movie,"Action, Drama, Music",1992,tt0103855,6.4,151088,JP
Trainspotting,movie,Drama,1996,tt0117951,8.1,738197,JP
"The Usual Suspects",movie,"Crime, Drama, Mystery",1995,tt0114814,8.5,1167237,JP
"Life Is Beautiful",movie,"Comedy, Drama, Romance",1997,tt0118799,8.6,760062,JP
"Catch Me If You Can",movie,"Biography, Crime, Drama",2002,tt0264464,8.1,1130416,JP
"A.I. Artificial Intelligence",movie,"Adventure, Drama, Sci-Fi",2001,tt0212720,7.2,327542,JP
"Paris, Texas",movie,Drama,1984,tt0087884,8.1,125881,JP
"La Jetée",movie,"Drama, Romance, Sci-Fi",1962,tt0056119,8.2,37816,JP
"Saw IV",movie,"Horror, Mystery, Thriller",2007,tt0890870,5.9,168667,JP
Twister,movie,"Action, Adventure, Thriller",1996,tt0117998,6.5,238638,JP
Oldboy,movie,"Action, Drama, Mystery",2003,tt0364569,8.3,656752,JP
"Harry Potter and the Sorcerer's Stone",movie,"Adventure, Family, Fantasy",2001,tt0241527,7.6,879511,JP
"Harry Potter and the Chamber of Secrets",movie,"Adventure, Family, Fantasy",2002,tt0295297,7.4,710131,JP
"Harry Potter and the Prisoner of Azkaban",movie,"Adventure, Family, Fantasy",2004,tt0304141,7.9,710189,JP
"Harry Potter and the Goblet of Fire",movie,"Adventure, Family, Fantasy",2005,tt0330373,7.7,698732,JP
"Harry Potter and the Order of the Phoenix",movie,"Action, Adventure, Family",2007,tt0373889,7.5,649369,JP
"Pearl Harbor",movie,"Action, Drama, Romance",2001,tt0213149,6.2,357026,US
Aliens,movie,"Action, Adventure, Sci-Fi",1986,tt0090605,8.4,791766,US
"Pulp Fiction",movie,"Crime, Drama",1994,tt0110912,8.9,2276724,JP
"The Bridges of Madison County",movie,"Drama, Romance",1995,tt0112579,7.6,90999,JP
"The Piano",movie,"Drama, Music, Romance",1993,tt0107822,7.5,96855,JP
"The Sixth Sense",movie,"Drama, Mystery, Thriller",1999,tt0167404,8.2,1077005,JP
"The Last Emperor",movie,"Biography, Drama, History",1987,tt0093389,7.7,113632,JP
"V for Vendetta",movie,"Action, Drama, Sci-Fi",2005,tt0434409,8.1,1197674,JP
Faces,movie,Drama,1968,tt0062952,7.4,11992,JP
"From Dusk Till Dawn",movie,"Action, Crime, Horror",1996,tt0116367,7.2,348353,JP
"Harry Potter and the Half-Blood Prince",movie,"Action, Adventure, Family",2009,tt0417741,7.6,611216,JP
"From Hell",movie,"Horror, Mystery, Thriller",2001,tt0120681,6.7,166569,US
"Mr. & Mrs. Smith",movie,"Action, Comedy, Crime",2005,tt0356910,6.5,554467,JP
"Mrs. Doubtfire",movie,"Comedy, Drama",1993,tt0107614,7.1,298500,US
"Roman Holiday",movie,"Comedy, Drama, Romance",1953,tt0046250,8,150154,JP
Se7en,movie,"Crime, Drama, Mystery",1995,tt0114369,8.6,1853272,JP
JFK,movie,"Drama, History, Thriller",1991,tt0102138,8,173436,JP
Dune,movie,"Action, Adventure, Sci-Fi",1984,tt0087182,6.3,183670,JP
"Enemy at the Gates",movie,"Action, Drama, War",2001,tt0215750,7.5,281728,JP
"The Mask",movie,"Action, Comedy, Crime",1994,tt0110475,7,434359,JP
"Saving Private Ryan",movie,"Drama, War",1998,tt0120815,8.6,1533367,JP
Tsotsi,movie,"Crime, Drama",2005,tt0468565,7.2,31813,JP
Crash,movie,Drama,1996,tt0115964,6.4,67929,JP
Gremlins,movie,"Comedy, Fantasy, Horror",1984,tt0087363,7.3,254471,JP
"Gremlins 2: The New Batch",movie,"Comedy, Fantasy, Horror",1990,tt0099700,6.4,115087,JP
"Lethal Weapon",movie,"Action, Crime, Thriller",1987,tt0093409,7.6,281850,JP
"Lethal Weapon 2",movie,"Action, Crime, Thriller",1989,tt0097733,7.3,192563,JP
"Lethal Weapon 3",movie,"Action, Crime, Thriller",1992,tt0104714,6.7,181548,JP
"Lethal Weapon 4",movie,"Action, Crime, Thriller",1998,tt0122151,6.6,174680,JP
Heat,movie,"Action, Crime, Drama",1995,tt0113277,8.3,736916,JP
"Ice Age: The Meltdown",movie,"Adventure, Animation, Comedy",2006,tt0438097,6.8,302489,US
Madagascar,movie,"Adventure, Animation, Comedy",2005,tt0351283,6.9,447899,US
"Mission: Impossible",movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,479544,JP
"Mission: Impossible III",movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,397279,JP
"Dirty Harry",movie,"Action, Crime, Thriller",1971,tt0066999,7.7,171988,JP
"The Queen",movie,"Biography, Drama",2006,tt0436697,7.3,116882,JP
"The Talented Mr. Ripley",movie,"Crime, Drama, Thriller",1999,tt0134119,7.4,256124,JP
"Hannibal Rising",movie,"Adventure, Crime, Drama",2007,tt0367959,6.1,117702,JP
"Ghost Rider",movie,"Action, Fantasy, Thriller",2007,tt0259324,5.3,257015,US
"Letters from Iwo Jima",movie,"Action, Adventure, Drama",2006,tt0498380,7.8,172005,JP
"The Host",movie,"Drama, Horror, Sci-Fi",2006,tt0468492,7.1,135542,"JP, US"
"Street Kings",movie,"Action, Crime, Thriller",2008,tt0421073,6.8,122599,JP
300,movie,"Action, Drama",2006,tt0416449,7.6,877999,JP
"The Dreamers",movie,"Drama, Romance",2003,tt0309987,7.1,134914,JP
"Sex and Lucía",movie,"Drama, Romance",2001,tt0254455,7,39278,JP
"Lights in the Dusk",movie,"Crime, Drama",2006,tt0458242,6.8,8197,JP
"Y tu mamá también",movie,Drama,2001,tt0245574,7.7,130843,US
Nostalghia,movie,Drama,1983,tt0086022,7.9,30932,JP
"La Vie En Rose",movie,"Biography, Drama, Music",2007,tt0450188,7.5,91623,JP
"The Departed",movie,"Crime, Drama, Thriller",2006,tt0407887,8.5,1454329,JP
"The Warrior",movie,"Action, Drama, History",2001,tt0275083,7.2,11354,JP
"The Virgin Suicides",movie,"Drama, Romance",1999,tt0159097,7.2,174203,JP
Immortality,movie,"Crime, Mystery, Romance",1998,tt0120894,6.2,6222,JP
"Superman Returns",movie,"Action, Adventure, Sci-Fi",2006,tt0348150,6.1,293688,JP
"Miss Congeniality",movie,"Action, Comedy, Crime",2000,tt0212346,6.3,235568,JP
"Spy Game",movie,"Action, Crime, Thriller",2001,tt0266987,7.1,170230,JP
Collateral,movie,"Action, Crime, Drama",2004,tt0369339,7.5,441402,JP
"Office Space",movie,Comedy,1999,tt0151804,7.6,294168,US
"28 Weeks Later",movie,"Horror, Sci-Fi",2007,tt0463854,6.9,300154,US
"Live Free or Die Hard",movie,"Action, Thriller",2007,tt0337978,7.1,424823,"JP, US"
"Die Hard with a Vengeance",movie,"Action, Adventure, Thriller",1995,tt0112864,7.6,414100,"JP, US"
"Die Hard 2",movie,"Action, Thriller",1990,tt0099423,7.1,388869,US
Chicago,movie,"Comedy, Crime, Musical",2002,tt0299658,7.2,247025,JP
"The Holiday",movie,"Comedy, Romance",2006,tt0457939,7,330362,JP
"What's Eating Gilbert Grape",movie,Drama,1993,tt0108550,7.7,258353,JP
"Bring It On",movie,"Comedy, Romance, Sport",2000,tt0204946,6.1,108403,JP
"Night at the Museum",movie,"Adventure, Comedy, Family",2006,tt0477347,6.5,385964,JP
Hitman,movie,"Action, Crime, Thriller",2007,tt0465494,6.2,180963,US
Speed,movie,"Action, Adventure, Thriller",1994,tt0111257,7.3,400686,JP
"Speed 2: Cruise Control",movie,"Action, Adventure, Crime",1997,tt0120179,4,87276,JP
"A Time to Kill",movie,"Crime, Drama, Thriller",1996,tt0117913,7.5,186379,JP
Copycat,movie,"Drama, Mystery, Thriller",1995,tt0112722,6.6,67979,JP
"The Cider House Rules",movie,"Drama, Romance",1999,tt0124315,7.4,106116,JP
"Jesus Camp",movie,Documentary,2006,tt0486358,7.4,28983,US
"The Piano Teacher",movie,"Drama, Music",2001,tt0254686,7.5,74083,JP
Transformers,movie,"Action, Adventure, Sci-Fi",2007,tt0418279,7.1,686334,JP
Sunflower,movie,"Drama, War",1970,tt0065782,7.3,4679,JP
"Pirates of the Caribbean: On Stranger Tides",movie,"Action, Adventure, Fantasy",2011,tt1298650,6.6,575376,US
"The Beach",movie,"Adventure, Drama, Romance",2000,tt0163978,6.6,257821,US
"The Bow",movie,"Drama, Romance",2005,tt0456470,7.1,11934,JP
Bandidas,movie,"Action, Comedy, Crime",2006,tt0416496,5.7,37775,US
"Death Proof",movie,"Action, Drama, Thriller",2007,tt1028528,7,319669,JP
"Planet Terror",movie,"Action, Comedy, Horror",2007,tt1077258,7,226315,JP
"Sister Act",movie,"Comedy, Family, Music",1992,tt0105417,6.5,111303,JP
"The Mourning Forest",movie,Drama,2007,tt1016205,6.7,2943,JP
"The Wedding Planner",movie,"Comedy, Romance",2001,tt0209475,5.3,88365,US
Hostage,movie,"Action, Crime, Drama",2005,tt0340163,6.5,114201,JP
"Training Day",movie,"Crime, Drama, Thriller",2001,tt0139654,7.8,484573,JP
"The Lake House",movie,"Drama, Fantasy, Romance",2006,tt0410297,6.8,159733,JP
"The Getaway",movie,"Action, Adventure, Crime",1994,tt0109890,5.8,20149,US
"Gappa the Triphibian Monster",movie,"Action, Adventure, Comedy",1967,tt0061550,4.4,1787,JP
"L.A. Confidential",movie,"Crime, Drama, Mystery",1997,tt0119488,8.2,630779,JP
"The Perfect Storm",movie,"Action, Adventure, Drama",2000,tt0177971,6.5,181361,JP
"Cop Land",movie,"Crime, Drama, Thriller",1997,tt0118887,7,109058,JP
Big,movie,"Comedy, Drama, Fantasy",1988,tt0094737,7.3,245541,US
Beowulf,movie,"Action, Adventure, Animation",2007,tt0442933,6.3,175935,JP
"Executive Decision",movie,"Action, Adventure, Thriller",1996,tt0116253,6.5,62539,JP
Taxi,movie,"Action, Comedy, Crime",1998,tt0152930,7,91191,JP
"Taxi 4",movie,"Action, Comedy, Crime",2007,tt0804540,5.6,31349,JP
"10 Items or Less",movie,"Comedy, Drama",2006,tt0499603,6.5,16470,JP
"The Young Girls of Rochefort",movie,"Comedy, Drama, Musical",1967,tt0062873,7.7,12475,JP
"Joint Security Area",movie,"Action, Drama, Thriller",2000,tt0260991,7.7,35273,JP
Eragon,movie,"Action, Adventure, Family",2006,tt0449010,5.1,131640,US
"The Princess Bride",movie,"Adventure, Comedy, Family",1987,tt0093779,8,458820,US
"The Bourne Identity",movie,"Action, Mystery, Thriller",2002,tt0258463,7.8,586461,JP
"The Bourne Supremacy",movie,"Action, Mystery, Thriller",2004,tt0372183,7.7,494086,JP
"The Bourne Ultimatum",movie,"Action, Mystery, Thriller",2007,tt0440963,8,665494,JP
"The Specialist",movie,"Action, Drama, Thriller",1994,tt0111255,5.6,70829,JP
"The Blair Witch Project",movie,"Horror, Mystery",1999,tt0185937,6.5,295810,JP
"Sleepy Hollow",movie,"Fantasy, Horror, Mystery",1999,tt0162661,7.3,393453,JP
Ringu,movie,"Horror, Mystery",1998,tt0178868,7.2,80098,JP
Signs,movie,"Drama, Mystery, Sci-Fi",2002,tt0286106,6.8,395627,US
"The Abyss",movie,"Adventure, Drama, Mystery",1989,tt0096754,7.5,197991,US
"Addams Family Values",movie,"Comedy, Fantasy",1993,tt0106220,6.8,114382,JP
"The Addams Family",movie,"Comedy, Fantasy",1991,tt0101272,6.9,187533,JP
Roar,movie,"Adventure, Comedy, Thriller",1981,tt0083001,6.1,4790,JP
"One on Top of the Other",movie,"Horror, Mystery, Thriller",1969,tt0065148,6.6,2774,JP
"Doctor Dolittle",movie,"Comedy, Family, Fantasy",1998,tt0118998,5.4,103676,US
"The Searchers",movie,"Adventure, Drama, Western",1956,tt0049730,7.8,98303,JP
"Battle Royale",movie,"Action, Adventure, Drama",2000,tt0266308,7.5,197525,JP
"Battle Royale II",movie,"Action, Adventure, Drama",2003,tt0338763,4.6,21678,JP
"Good Night, and Good Luck.",movie,"Biography, Drama, History",2005,tt0433383,7.4,102114,JP
"Under Siege 2: Dark Territory",movie,"Action, Adventure, Thriller",1995,tt0114781,5.6,50999,JP
Bogus,movie,"Comedy, Family, Fantasy",1996,tt0115725,5.4,7137,US
"I Still Know What You Did Last Summer",movie,"Horror, Mystery, Thriller",1998,tt0130018,4.8,80554,US
"Black Sheep",movie,"Comedy, Horror, Sci-Fi",2006,tt0779982,5.8,42486,JP
"Flags of Our Fathers",movie,"Action, Adventure, Drama",2006,tt0418689,7.1,130727,JP
Beetlejuice,movie,"Comedy, Fantasy",1988,tt0094721,7.5,390268,JP
"That Man from Rio",movie,"Action, Adventure, Comedy",1964,tt0058203,7,6470,JP
"Women on the Verge of a Nervous Breakdown",movie,"Comedy, Drama",1988,tt0095675,7.5,47632,JP
Scream,movie,"Horror, Mystery",1996,tt0117571,7.4,406287,JP
"The Kingdom",movie,"Action, Drama, Thriller",2007,tt0431197,7,133650,JP
Bordertown,movie,"Crime, Mystery, Thriller",2007,tt0445935,6,11548,JP
"Jamón, Jamón",movie,"Comedy, Drama, Romance",1992,tt0104545,6.4,15435,JP
"The Machinist",movie,"Drama, Thriller",2004,tt0361862,7.6,422775,JP
"The Story of O",movie,Drama,1975,tt0073115,5.3,7084,JP
"The Guardian",movie,"Action, Adventure, Drama",2006,tt0406816,6.9,99716,US
"The Sensuous Nurse",movie,Comedy,1975,tt0074682,4.8,860,JP
"Gone Baby Gone",movie,"Crime, Drama, Mystery",2007,tt0452623,7.6,298180,JP
Obsession,movie,"Drama, Mystery, Thriller",1976,tt0074991,6.7,12311,JP
"The Jackal",movie,"Action, Crime, Drama",1997,tt0119395,6.4,126390,JP
"The Curious Case of Benjamin Button",movie,"Drama, Fantasy, Romance",2008,tt0421715,7.8,709030,JP
"10 Things I Hate About You",movie,"Comedy, Drama, Romance",1999,tt0147800,7.3,402651,US
"3:10 to Yuma",movie,"Action, Crime, Drama",2007,tt0381849,7.6,337690,JP
Teorema,movie,"Drama, Mystery",1968,tt0063678,7,15691,JP
"Lisa and the Devil",movie,"Horror, Mystery",1973,tt0068863,6.2,5567,JP
"Baron Blood",movie,Horror,1972,tt0069048,5.9,4403,JP
"A Bay of Blood",movie,"Horror, Mystery, Thriller",1971,tt0067656,6.5,13311,JP
"Le Samouraï",movie,"Crime, Drama, Thriller",1967,tt0062229,8,60482,JP
"Donkey Skin",movie,"Comedy, Fantasy, Musical",1970,tt0066207,7,6682,JP
"Sky High",movie,"Action, Adventure, Drama",2002,tt0398563,6.1,1518,JP
Papillon,movie,"Biography, Crime, Drama",1973,tt0070511,8,140453,JP
"The Umbrellas of Cherbourg",movie,"Drama, Musical, Romance",1964,tt0058450,7.8,32216,JP
"The Family Man",movie,"Comedy, Drama, Fantasy",2000,tt0218967,6.8,121683,JP
"Romeo and Juliet",movie,"Drama, Romance",1968,tt0063518,7.6,35331,JP
"Six Days Seven Nights",movie,"Action, Adventure, Comedy",1998,tt0120828,5.9,84660,US
"Sister Act 2: Back in the Habit",movie,"Comedy, Family, Music",1993,tt0108147,5.7,60234,JP
"I Am Legend",movie,"Action, Drama, Horror",2007,tt0480249,7.2,833999,JP
"27 Dresses",movie,"Comedy, Romance",2008,tt0988595,6.1,178178,US
"The Man Without a Past",movie,"Comedy, Drama, Romance",2002,tt0311519,7.6,26932,JP
Equilibrium,movie,"Action, Drama, Sci-Fi",2002,tt0238380,7.3,351542,JP
"Running Scared",movie,"Action, Crime, Drama",2006,tt0404390,7.3,104500,JP
Juno,movie,"Comedy, Drama",2007,tt0467406,7.4,556487,US
"Speed Racer",movie,"Action, Adventure, Comedy",2008,tt0811080,6.1,79655,JP
Shooter,movie,"Action, Drama, Thriller",2007,tt0822854,7.1,361987,JP
Idiocracy,movie,"Adventure, Comedy, Sci-Fi",2006,tt0387808,6.5,192371,US
"Ghost Train",movie,Horror,2006,tt0819839,4.9,923,JP
Rambo,movie,"Action, Adventure, Thriller",2008,tt0462499,7,248069,JP
"10,000 BC",movie,"Action, Adventure, Drama",2008,tt0443649,5.1,136613,JP
"Before the Devil Knows You're Dead",movie,"Crime, Drama, Thriller",2007,tt0292963,7.3,113915,US
"The Match Factory Girl",movie,"Comedy, Crime, Drama",1990,tt0098532,7.5,12247,JP
"Robin Hood: Men in Tights",movie,"Adventure, Comedy, Musical",1993,tt0107977,6.7,139572,US
"Behind Enemy Lines",movie,"Action, Drama, Thriller",2001,tt0159273,6.4,114738,US
"Band of Outsiders",movie,"Comedy, Crime, Drama",1964,tt0057869,7.6,27558,JP
Alien³,movie,"Action, Horror, Sci-Fi",1992,tt0103644,6.4,334096,US
"Alien Resurrection",movie,"Action, Horror, Sci-Fi",1997,tt0118583,6.2,276272,US
"Napoleon Dynamite",movie,Comedy,2004,tt0374900,7,243149,US
"Æon Flux",movie,"Action, Adventure, Sci-Fi",2005,tt0402022,5.4,134042,JP
"Drifting Clouds",movie,"Comedy, Drama",1996,tt0116752,7.6,9498,JP
Kika,movie,Comedy,1993,tt0107315,6.5,15308,JP
REC,movie,"Horror, Mystery, Thriller",2007,tt1038988,7.4,202938,JP
"Cast Away",movie,"Adventure, Drama, Romance",2000,tt0162222,7.8,652191,JP
"Transformers: Revenge of the Fallen",movie,"Action, Adventure, Sci-Fi",2009,tt1055369,6,435091,JP
"The Conformist",movie,Drama,1970,tt0065571,7.9,34607,JP
"Swallowtail Butterfly",movie,"Crime, Drama",1996,tt0117797,7.5,4546,JP
"The Happening",movie,"Adventure, Drama, Sci-Fi",2008,tt0949731,5,220284,US
"Deep Impact",movie,"Action, Drama, Sci-Fi",1998,tt0120647,6.2,194211,JP
"K-19: The Widowmaker",movie,"Drama, History, Thriller",2002,tt0267626,6.7,68625,"JP, US"
"Cannibals in the Streets",movie,"Drama, Fantasy, Horror",1980,tt0080379,5.5,4462,JP
"The League of Extraordinary Gentlemen",movie,"Action, Adventure, Fantasy",2003,tt0311429,5.8,186255,US
"The Final Countdown",movie,"Action, Adventure, Sci-Fi",1980,tt0080736,6.7,27860,JP
"Hellraiser: Bloodline",movie,"Horror, Sci-Fi",1996,tt0116514,5.1,25306,JP
"Mad Max 2: The Road Warrior",movie,"Action, Adventure, Sci-Fi",1981,tt0082694,7.6,204459,JP
Evita,movie,"Biography, Drama, History",1996,tt0116250,6.3,38045,US
"Conspiracy Theory",movie,"Action, Drama, Mystery",1997,tt0118883,6.7,109073,JP
"Under Siege",movie,"Action, Thriller",1992,tt0105690,6.5,97483,JP
"Dude, Where's My Car?",movie,"Comedy, Mystery, Sci-Fi",2000,tt0242423,5.5,147723,US
"Red Planet",movie,"Action, Sci-Fi, Thriller",2000,tt0199753,5.7,60476,JP
"Che: Part Two",movie,"Biography, Drama, History",2008,tt0374569,6.8,35408,JP
"Che: Part One",movie,"Biography, Drama, History",2008,tt0892255,7.1,48415,JP
"Deep Blue Sea",movie,"Action, Adventure, Sci-Fi",1999,tt0149261,5.9,145687,JP
"Jeepers Creepers",movie,"Horror, Mystery",2001,tt0263488,6.2,147310,JP
"The Marine",movie,"Action, Comedy, Drama",2006,tt0419946,4.8,36353,US
Hellraiser,movie,"Horror, Thriller",1987,tt0093177,6.9,145089,JP
"The Great Silence",movie,"Drama, Western",1968,tt0063032,7.7,18627,JP
"The Banger Sisters",movie,"Comedy, Drama",2002,tt0280460,5.7,17547,US
"The Family Stone",movie,"Comedy, Drama, Romance",2005,tt0356680,6.3,76258,US
"Police Story",movie,"Action, Comedy, Crime",1985,tt0089374,7.5,43304,JP
"Hellbound: Hellraiser II",movie,"Horror, Thriller",1988,tt0095294,6.4,57629,JP
"Hot Shots! Part Deux",movie,"Action, Comedy",1993,tt0107144,6.6,99038,US
Eraser,movie,"Action, Crime, Thriller",1996,tt0116213,6.2,119925,JP
